Tonga,TON,4863.76384632192
Cabo Verde,CPV,4861.29184126229
Jordan,JOR,4466.08314208575
"Iran, Islamic Rep.",IRN,4465.63766853306
Samoa,WSM,4330.17840531329
Viet Nam,VNM,4323.35031982451
Early-demographic dividend,EAR,4322.18279373346
Namibia,NAM,4187.60500350786
Pacific island small states,PSS,4153.19706628517
Tunisia,TUN,3950.3753419816
"Micronesia, Fed. Sts.",FSM,3941.37247887414
Bhutan,BTN,3839.4093039286
Philippines,PHL,3804.08274131097
Sri Lanka,LKA,3798.89016573011
Morocco,MAR,3771.4462890625
Eswatini,SWZ,3741.69010745416
Bolivia,BOL,3686.27996442176
Vanuatu,VUT,3515.23633611798
Lebanon,LBN,3477.72489842684
"Egypt, Arab Rep.",EGY,3456.78968456253
West Bank and Gaza,PSE,3455.02852911712
Djibouti,DJI,3397.52015779588
Honduras,HND,3227.45762509776
Papua New Guinea,PNG,2966.06830432055
Sao Tome and Principe,STP,2940.93352926715
Uzbekistan,UZB,2878.96879292451
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2797.40730719316
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2792.71457545742
Nicaragua,NIC,2609.44492072931
Cote d'Ivoire,CIV,2554.67304885576
Bangladesh,BGD,2551.01773827307
South Asia,SAS,2532.37560051691
South Asia (IDA & IBRD),TSA,2532.37560051691
India,IND,2530.12031278204
"Congo, Rep.",COG,2477.97845477092
Lower middle income,LMC,2443.40827649123
Cambodia,KHM,2429.74853452838
Ghana,GHA,2383.90410483418
Angola,AGO,2309.53413042773
Kiribati,KIR,2177.70114080416
Zimbabwe,ZWE,2156.03409322984
Kyrgyz Republic,KGZ,2138.22210211478
Mauritania,MRT,2120.82318421747
Solomon Islands,SLB,2076.10768772563
Lao PDR,LAO,2066.94979776957
Kenya,KEN,1952.30457929636
Fragile and conflict affected situations,FCS,1781.86010011545
Cameroon,CMR,1736.86091073524
IDA blend,IDB,1729.91982930792
Haiti,HTI,1705.75808460999
Senegal,SEN,1698.03387300843
Comoros,COM,1682.20285095721
Sub-Saharan Africa (excluding high income),SSA,1614.13902501696
Africa Western and Central,AFW,1599.39298291654
Nigeria,NGA,1596.63696129001
Sub-Saharan Africa,SSF,1580.78792757309
Sub-Saharan Africa (IDA & IBRD countries),TSS,1580.78792757309
Africa Eastern and Southern,AFE,1568.15989105305
Guinea,GIN,1555.49375806861
Timor-Leste,TLS,1502.51964514186
IDA total,IDA,1480.94361341054
Pre-demographic dividend,PRE,1416.33353040951
Benin,BEN,1394.17784663045
Nepal,NPL,1382.33055769304
Pakistan,PAK,1365.16927410976
IDA only,IDX,1347.74690969092
Zambia,ZMB,1330.72780576709
Least developed countries: UN classification,LDC,1254.2327931358
Myanmar,MMR,1233.19666209269
Tanzania,TZA,1224.48962402344
Tajikistan,TJK,1178.47990060249
Heavily indebted poor countries (HIPC),HPC,1173.17370951469
South Sudan,SSD,1080.14718624765
Mali,MLI,1035.86242628411
Rwanda,RWA,1027.03446804432
Ethiopia,ETH,1011.07332413462
Uganda,UGA,1002.30913908852
Chad,TCD,989.058528968588
Togo,TGO,985.697512629974
Guinea-Bissau,GNB,964.927554218909
Lesotho,LSO,916.282970463888
"Gambia, The",GMB,888.157407441902
Burkina Faso,BFA,882.689810086163
Syrian Arab Republic,SYR,847.372723418531
Liberia,LBR,799.194470229642
Sudan,SDN,797.283447265625
Sierra Leone,SLE,757.848680560444
Low income,LIC,697.171191535478
Eritrea,ERI,688.68165957684
Niger,NER,638.336080723299
"Congo, Dem. Rep.",COD,633.395661686298
Mozambique,MOZ,622.985619320596
Malawi,MWI,602.343619809252
Somalia,SOM,597.458854603043
Madagascar,MDG,508.718427705736
Central African Republic,CAF,495.978897288721
"Yemen, Rep.",YEM,426.354075914615
Afghanistan,AFG,413.757894705303
Burundi,BDI,192.074305359351
