sede_id,tipo_seccion
CMIAM,Sección  Consular
CMIAM,Sección  Consular
CBELO,Sección  Consular
ENIGE,Sección  Consular
ECOLO,Seccion
ECORE,Sección  Consular
EANGO,Seccion
ECUBA,Seccion
EBARB,Seccion
EFRAN,Seccion
EALEM,Seccion
ESAFR,Seccion
ECORE,Seccion
EESPA,Seccion
ESSED,Seccion
CBARC,Seccion
EMOZA,Seccion
CSCRS,Seccion
EMEXI,Seccion
EQATR,Seccion
ETAIL,Seccion
CRIOJ,Seccion
EALEM,Seccion
EETIO,Seccion
CMILA,Seccion
ENORU,Seccion
EECUA,Seccion
EAUST,Seccion
EARGE,Seccion
EISIA,Seccion
EKUWA,Seccion
EIRLA,Seccion
EVENE,Seccion
EEGIP,Seccion
EDINA,Seccion
EUNGR,Seccion
EHAIT,Seccion
EANGO,Seccion
ECHES,Seccion
EURUG,Seccion
ETURQ,Seccion
ECUBA,Seccion
EJAMA,Seccion
CVIGO,Sección  Consular
CFRAN,Seccion
EJAPO,Seccion
EHOND,Seccion
ERUNI,Seccion
EGUAT,Seccion
ELBNO,Seccion
ESING,Seccion
EBRAS,Seccion
EPOLO,Seccion
ESUEC,Seccion
ECHIN,Seccion
EHILE,Seccion
CSHAN,Seccion
EGREC,Seccion
EBELG,Seccion
ESURI,Seccion
EFRAN,Seccion
ESUIZ,Seccion
EPBAJ,Seccion
EUCRA,Seccion
EIRAN,Seccion
CSIDN,Seccion
ECANA,Seccion
EEEUU,Seccion
ECORE,Seccion
ECOLO,Seccion
EAZER,Seccion
EBARB,Seccion
ESERB,Seccion
EITAL,Seccion
EPERU,Seccion
ESAFR,Seccion
EBOLV,Seccion
CGMUM,Seccion
EAZER,Seccion
ETRIA,Seccion
EMOZA,Seccion
EITAL,Seccion
EPERU,Seccion
ETRIA,Seccion
EFRUS,Seccion
EALEM,Seccion
EHAIT,Seccion
EMEXI,Seccion
EHOND,Seccion
EMOZA,Seccion
EFRUS,Seccion
CSHAN,Seccion
EURUG,Seccion
EPAKI,Seccion
EQATR,Seccion
EJAPO,Seccion
CMILA,Seccion
ELBNO,Seccion
EIRLA,Seccion
ESERB,Seccion
EBARB,Seccion
ECEUR,Seccion
EGREC,Seccion
CRIOJ,Seccion
EETIO,Seccion
EALEM,Seccion
ECHIN,Seccion
ENORU,Seccion
EFRUS,Seccion
EARGE,Seccion
EECUA,Seccion
EDOMI,Seccion
EMARR,Seccion
EEEUU,Seccion
EKUWA,Seccion
EVENE,Seccion
ENZEL,Seccion
EHAIT,Seccion
EANGO,Seccion
ECHES,Seccion
ETURQ,Seccion
CCHIC,Seccion
ENIGE,Seccion
EBELG,Seccion
EPERU,Seccion
EJAMA,Seccion
ESAFR,Seccion
CVIGO,Sección  Consular
CFRAN,Seccion
CRECI,Sección  Consular
ECUBA,Seccion
ETUNE,Seccion
EMSIA,Seccion
EISIA,Seccion
CSHAN,Seccion
EHILE,Seccion
EGUAT,Seccion
ERICA,Seccion
EMOZA,Seccion
ESURI,Seccion
EAZER,Seccion
EINDI,Sección  Consular
EPNMA,Seccion
EIRAN,Seccion
EUCRA,Seccion
CGMUM,Seccion
ECORE,Seccion
ESING,Seccion
EESPA,Seccion
EVIET,Seccion
ESUIZ,Seccion
EEARB,Seccion
ESUEC,Seccion
ERUNI,Seccion
ECOLO,Seccion
ETAIL,Seccion
ETRIA,Seccion
EBOLV,Seccion
EFRAN,Seccion
EISRA,Seccion
ECANA,Seccion
EBRAS,Seccion
EECUA,Seccion
CSHAN,Seccion
EHOND,Seccion
ECHIN,Seccion
EFRAN,Seccion
ETRIA,Seccion
ECOLO,Seccion
EETIO,Seccion
EALEM,Seccion
ESSED,Seccion
ECHES,Seccion
ECHIN,Seccion
ESUIZ,Seccion
EARGE,Seccion
EMSIA,Seccion
EECUA,Seccion
EAUST,Seccion
EEARB,Seccion
EEEUU,Seccion
EVENE,Seccion
EEGIP,Seccion
EUNGR,Seccion
EHAIT,Seccion
ELBNO,Seccion
EANGO,Seccion
EMEXI,Seccion
EMARR,Seccion
EURUG,Seccion
EFRUS,Seccion
ESING,Seccion
EIRLA,Seccion
EISIA,Seccion
ETUNE,Seccion
